JAC 2019	Carbon dioxide	Oxalic acid	Acetaldehyde	Ethanol	Acetone	"2,3-Epoxybutane"	Cyclopentane	"Propanal, 2-methyl-"	"Butanal, 3-hydroxy-"	Ethylenediamine	1-Propanol	"Formic acid, ethenyl ester"	"1,2,4-Butanetriol"	Acetohydroxamic acid	"Carbamic acid, methyl ester"	"Silanol, trimethyl-"	2-Butanone	"2-Butanol, (R)-"	"1,3-Butanediol"	"Ethanamine, 2,2'-oxybis-"	Tetrahydrofuran	"Propanoic acid, chloro-2-hydroxy-"	"1-Propanol, 2-methyl-"	"Disiloxane, hexamethyl-"	2-Dimethyl(trimethylsilyl)silyloxytetradecane	Pentane	"Butanal, 3-methyl-"	"Butanal, 2-methyl-"	1-Butanol	"1-Propanol, 2-amino-, (±)-"	"2-Butanone, 3-methyl-"	2-Pentanone	Cyclopentanol	Pentanal	"2,3-Pentanedione"	"Butanoic acid, 3-hydroxy-"	Cystine	(-)-Norephedrine	"Butanoic acid, methyl ester"	"2-Propanol, 1,3-dichloro-"	Acetic acid	"Disulfide, dimethyl"	Methyl Isobutyl Ketone	"1-Butanol, 3-methyl-"	"1-Butanol, 3-methyl-, formate"	"Pentanoic acid, 4-methyl-"	Toluene	"Benzeneethanol, a-methyl-"	"Ethanol, 2-nitro-, propionate (ester)"	2-Octene	1-Pentanol	Propanoic acid	2-Hexanone	"Cyclopropanetetradecanoic acid, 2-octyl-, methyl ester"	"Propanoic acid, 2-methyl-"	"Tricyclo[4.3.1.1(3,8)]undecane-3-carboxylic acid"	"1,1,3,3-Tetramethyl-1,3-bis[(2Z)-pent-2-en-1-yloxy]disiloxane"	2-Pentanol	Butanoic acid	"Trisiloxane, octamethyl-"	1-Hexanol	Ethylbenzene	l-Gala-l-ido-octose	"1,3-Cyclopentadiene, 5-(1-methylethylidene)-"	DL-Arabinose	"Acetic acid, pentyl ester"	Heptanal	"Butanoic acid, 3-methyl-"	"Butanoic acid, 2-methyl-"	Styrene	2-Heptanone	"2-Hexanone, 4-methyl-"	2-Trifluoroacetoxydodecane	Tetraacetyl-d-xylonic nitrile	Pentanoic acid	"Propanedioic acid, propyl-"	"1H-Pyrrole, 2,5-dihydro-1-nitroso-"	"Cyclotetrasiloxane, octamethyl-"	Amphetamine	"Benzene, propyl-"	"Benzene, 1-ethyl-3-methyl-"	"Benzene, 1-ethyl-4-methyl-"	"Benzene, 1,2,4-trimethyl-"	"Benzene, 1,2,3-trimethyl-"	"D-erythro-Pentose, 2-deoxy-"	Decane	"9,12,15-Octadecatrienoic acid, 2-[(trimethylsilyl)oxy]-1-[[(trimethylsilyl)oxy]methyl]ethyl ester, (Z,Z,Z)-"	"Benzene, 1-ethyl-2-methyl-"	"a-D-Glucopyranoside, O-a-D-glucopyranosyl-(1.fwdarw.3)-ß-D-fructofuranosyl"	Dimethyl trisulfide	Benzaldehyde	Succindialdehyde	2-Octanone	"Tetrasiloxane, decamethyl-"	Hexanoic acid	D-Limonene	Mesitylene	"Pentanoic acid, heptyl ester"	3-(Prop-2-enoyloxy)dodecane	"1-Hexanethiol, 2-ethyl-"	"Octane, 4-chloro-"	"3,6-Octadecadiynoic acid, methyl ester"	3-tert-Butyl-5-chloro-2-hydroxybenzophenone	Phenol	Pterin-6-carboxylic acid	2-Hexadecanol	"Octadecane, 1-(ethenyloxy)-"	"Octadecane, 6-methyl-"	Benzeneacetaldehyde	"12,15-Octadecadiynoic acid, methyl ester"	Chlorozotocin	"Benzeneacetamide, a-ethyl-"	"Glycine, N-[(phenylmethoxy)carbonyl]-"	"Benzene, 4-ethyl-1,2-dimethyl-"	"Cyclopentasiloxane, decamethyl-"	Acetophenone	?-Chlorobutyrophenone	"Cyclohexene, 1-methyl-4-(1-methylethylidene)-"	Nonanal	Paromomycin	"9-Octadecen-12-ynoic acid, methyl ester"	Arginine	"Phenol, 3-methyl-"	p-Cresol	"L-Serine, O-(phenylmethyl)-"	"Benzenemethanol, 2-(2-aminopropoxy)-3-methyl-"	N-Benzyloxycarbonyl-dl-norleucine	3-Trifluoroacetoxypentadecane	Decanal	Tridemorph	Glycylsarcosine	N e-Carbobenzyloxy-L-lysine	?-Guanidinobutyric acid	4-Cyclopropylcarbonyloxytridecane	"Benzyl alcohol, p-hydroxy-a-[(methylamino)methyl]-"	"Cyclohexasiloxane, dodecamethyl-"	"Isoquinoline, decahydro-"	Undecanal	Indole	"Butanoic acid, 4,4'-dithiobis[2-amino-, (R*,R*)-(±)-"	"Butanoic acid, 4,4'-dithiobis[2-amino-, [S-(R*,R*)]-"	"Carbamic acid, N-[10,11-dihydro-5-(2-methylamino-1-oxoethyl)-3-5H-dibenzo[b,f]azepinyl]-, ethyl ester"	"9-Tetradecen-1-ol, acetate, (E)-"	1-Monolinoleoylglycerol trimethylsilyl ether	Heptacosane	"1H-Indole, 3-methyl-"	"1H-Indole, 7-methyl-"	"1H-Indole, 2-methyl-"	"1,2-Benzisothiazol-3-amine tbdms"	Gentamicin a	"1,4-Benzenediol, 2,6-bis(1,1-dimethylethyl)-"	"4-Methoxycarbonylmethylundec-3-enedioic acid, dimethyl ester"	Butylated Hydroxytoluene	"Thieno[2,3-c]furan-3-carbonitrile, 2-amino-4,6-dihydro-4,4,6,6-tetramethyl-"	"1,2-Benzenediol, 3,5-bis(1,1-dimethylethyl)-"	10-Octadecenal	"1,4-Bis(trimethylsilyl)benzene"	"Octadecane, 3-ethyl-5-(2-ethylbutyl)-"	Ethyl iso-allocholate	"Cyclotrisiloxane, hexamethyl-"
F1_D0 181_120.txt	9.73E+07	4.83E+08	0	0	4.71E+08	0	6.05E+07	0	7987350	0	0	0	2321580	0	0	4.92E+08	0	0	0	1176430	1.80E+07	0	0	0	0	0	0	0	0	0	2.29E+07	0	0	0	0	0	0	0	0	0	1.09E+08	1.55E+08	1.07E+07	0	0	0	1.26E+07	0	0	0	0	7.71E+07	2.45E+07	0	2.19E+07	0	0	0	1.61E+08	9031140	0	0	0	0	0	0	0	4.42E+07	0	0	6.21E+07	0	0	1790700	0	0	5813380	9.76E+07	1.49E+07	1.39E+07	1.42E+08	0	0	1.19E+08	0	3.16E+07	0	0	6151340	1.38E+08	0	6466630	6.17E+07	1.78E+07	0	0	3.00E+07	0	0	0	0	708787	0	1.11E+08	2627990	1.07E+07	2.01E+07	0	0	4806440	0	0	0	1.59E+07	6.92E+07	1.05E+08	0	0	1.48E+07	4392180	0	6458110	0	8.17E+07	0	0	0	0	1.53E+07	0	0	0	0	8120400	7736020	3.05E+07	0	0	0	5485750	0	777450	0	0	1.15E+07	0	0	0	0	5894320	1.10E+07	0	0	2754390	0	0	708536	0	0	4.43E+07
F1_D0 VOC 163_59.txt	7.73E+07	2.77E+08	3.60E+07	0	1.26E+08	1.04E+07	4.40E+07	1.18E+07	0	0	2.51E+07	0	0	0	0	1.34E+08	7.79E+07	0	0	0	0	0	7.77E+07	0	0	0	4.06E+07	2.63E+07	2.78E+07	0	0	3.16E+07	0	0	0	0	0	0	0	0	1.72E+08	1.48E+07	7.40E+07	2.19E+08	0	0	4.74E+07	0	0	0	0	6.70E+07	3.84E+07	0	0	0	0	0	6.75E+07	1.82E+08	0	7156830	0	0	0	0	0	5.90E+07	0	1.19E+08	4.37E+07	0	0	7953260	6.48E+07	0	0	1.80E+08	0	1.81E+07	5.53E+07	3.95E+07	2.74E+07	1.86E+08	5135050	2.69E+07	0	0	0	0	0	1.24E+07	4.98E+07	3.13E+07	0	0	0	0	0	0	0	0	0	6.47E+07	5232820	2.73E+07	0	1.47E+07	0	1.32E+07	0	0	0	1.20E+07	8.24E+07	1.25E+08	0	0	2.17E+07	0	0	9259940	2.36E+07	0	0	553306	0	0	1.02E+07	0	0	0	0	0	0	4.15E+07	0	0	0	0	0	0	0	1.07E+07	2.85E+07	0	0	0	0	0	1.10E+07	0	0	0	0	0	0	0	8078970	1.21E+08
F1_D11 146_279.txt	8.78E+07	0	1.56E+08	7.92E+07	2.33E+08	719400	2.12E+07	6.89E+07	3360540	1072830	2.70E+07	512950	0	0	0	7.45E+07	1.09E+08	1.23E+07	0	0	0	0	0	0	0	0	2.00E+08	9.40E+07	4.66E+07	0	7479400	0	7777580	0	0	0	0	0	7773240	0	5.69E+08	0	0	0	3.67E+07	0	0	0	3.40E+08	0	0	9.42E+07	0	0	4.80E+08	0	0	0	1.87E+09	0	0	0	0	0	8089660	0	0	6.93E+08	6.73E+08	0	0	0	0	3429680	8.26E+08	1001930	0	1.14E+08	0	0	0	0	0	0	1.95E+07	0	0	0	7212750	0	1.16E+08	0	0	1.37E+07	6.81E+08	0	0	0	0	0	0	0	0	4.88E+07	2.49E+07	6625290	0	0	0	0	0	0	0	0	3.35E+07	3.54E+07	0	0	1.73E+07	0	0	0	5.66E+07	3.67E+08	3.92E+07	0	0	0	9335050	0	0	0	3779060	0	0	1.30E+07	0	0	1.72E+07	0	0	0	0	0	0	0	8.60E+07	0	0	0	0	0	1.47E+07	0	0	0	0	0	0	2.61E+07
F1_D11 149_142.txt	3.09E+08	4.54E+08	0	0	1.74E+08	0	3.77E+07	0	3.25E+07	526873	0	1256350	864746	0	0	1.29E+08	0	4.43E+07	9.49E+07	0	0	0	2.48E+08	0	0	0	0	0	2373950	3312260	0	3.16E+07	5255000	0	0	0	2.08E+07	0	0	4637360	1.33E+08	0	0	7.73E+08	0	0	0	0	0	0	0	6.69E+07	4.31E+07	0	2.50E+07	0	0	8042220	1.62E+08	2.60E+07	0	0	0	0	0	0	0	0	0	7.30E+07	8.26E+07	0	0	0	5.06E+07	0	0	1.22E+08	0	2.04E+07	6.82E+07	0	0	3.70E+07	0	3.99E+07	0	0	0	0	0	0	6.92E+07	2.21E+07	0	0	1.58E+08	7692080	0	0	0	3764190	0	7.25E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9490280	0	0	0	0	0	0	0	0	5.19E+07
F1_D11 153_239.txt	8.03E+07	3.07E+08	2.73E+07	1.85E+08	2.13E+08	1630830	0	1.85E+07	3407910	0	1.16E+08	0	0	0	0	3.18E+08	3.00E+08	0	0	0	0	0	0	1.76E+08	0	0	1.23E+08	0	0	0	0	0	0	0	0	5.37E+07	0	0	6.67E+07	0	5.66E+08	0	0	0	0	5.89E+08	0	0	7.39E+08	0	0	0	0	0	4.89E+08	0	0	4212730	3339540	0	0	0	0	0	0	0	0	3.57E+08	0	0	0	0	0	2215970	5.29E+08	0	0	1.39E+08	4873440	0	5.11E+07	0	0	1.02E+07	1.46E+07	1.33E+07	0	0	0	0	0	8.34E+07	0	1.78E+07	1.33E+09	0	1.76E+07	0	0	7719850	0	5692330	0	5.32E+07	3400560	1.10E+07	6569430	0	0	0	0	0	0	0	4.89E+07	3.04E+07	0	0	1.13E+07	0	0	0	2.76E+08	0	1.89E+07	0	0	0	6025400	0	5995140	0	0	2.49E+07	0	1.49E+07	0	0	0	7245030	0	0	0	0	0	0	0	2.06E+07	0	0	0	0	0	0	0	0	0	0	0	1.57E+08
F1_D11 159_202.txt	9.50E+07	3.01E+08	4.72E+07	2.45E+08	3.11E+08	0	0	1.09E+07	2623410	4375540	5.48E+07	0	0	0	6.90E+07	0	1.13E+08	1.39E+07	0	0	0	0	8799190	0	0	0	1.12E+07	7824440	7.84E+07	0	0	3.53E+07	0	0	0	0	1958630	0	2.79E+07	0	2.90E+08	0	8.27E+07	2.85E+07	1.10E+08	0	0	0	1.15E+07	0	0	1.01E+08	2.18E+07	0	0	0	0	0	7.22E+08	0	0	0	0	0	0	0	7796260	1.26E+08	0	0	0	4.54E+07	0	2632620	2.77E+08	0	0	1.14E+08	0	9353390	2.79E+07	0	0	1.36E+07	1.34E+07	9557500	0	0	0	0	0	0	1.82E+07	1.57E+07	1.93E+07	0	1.03E+08	1.99E+07	0	9788910	0	3042870	2074710	8.46E+07	6059950	0	8451300	0	0	1.05E+07	0	0	0	0	5.03E+07	4.81E+07	0	0	1.39E+07	0	1790400	5958890	0	1.42E+08	8723810	6876880	0	0	6695050	0	0	0	4410740	9626630	0	1.65E+07	0	0	0	0	2113920	0	0	0	0	0	0	1.70E+07	0	0	4090590	0	0	1988270	0	0	1733930	0	0	4567800
F1_D11 167_293.txt	9.45E+07	2.31E+08	5.62E+07	2.30E+08	3.41E+08	9345320	2.86E+07	2.36E+07	2706010	670977	3.82E+07	0	0	0	0	1.02E+08	9.32E+07	1.10E+07	0	0	0	0	0	0	0	0	1.41E+08	9.78E+07	1.27E+08	0	2.28E+07	0	0	0	0	0	0	0	2.22E+07	0	4.35E+08	0	0	0	6335910	0	0	0	1.57E+08	0	0	3.18E+08	0	0	5.12E+08	0	0	0	2.08E+07	0	0	0	0	0	0	0	0	4.30E+08	6.80E+08	0	0	0	0	3657640	0	0	0	1.31E+08	5252000	0	2.97E+07	0	0	0	1.35E+07	0	0	0	0	0	2.07E+08	1.55E+07	0	0	1.47E+09	0	1.69E+07	0	0	0	0	2.11E+07	0	2.84E+07	4332850	0	0	0	0	0	0	0	0	0	3.92E+07	2.67E+07	0	0	1.87E+07	0	0	3985090	5.82E+08	0	0	0	0	0	1.43E+07	0	0	0	6821150	4003200	0	1.29E+07	0	0	1.41E+07	0	0	0	0	0	0	0	6.78E+07	0	0	0	5617970	0	2.97E+07	0	0	0	8986140	0	0	3.70E+07
F1_D11 172_283.txt	1.22E+08	3.03E+08	1.50E+08	1.82E+08	1.87E+08	0	2.29E+07	4.24E+07	2907040	602175	2.96E+07	0	0	0	0	9.12E+07	7.36E+07	2.09E+07	0	0	0	0	2.57E+07	0	0	0	2.10E+07	2.51E+07	9.97E+07	0	5832990	0	0	1.55E+07	0	0	0	0	3772340	0	2.87E+08	0	8528420	0	3.77E+07	4946160	0	0	8.97E+07	0	2.67E+08	0	0	0	2.02E+08	0	0	0	0	0	6.72E+07	0	0	0	0	0	0	2.52E+08	3.27E+08	0	0	0	0	5406870	0	0	0	1.09E+08	0	0	9.88E+07	0	0	0	5305910	0	0	0	0	0	0	8514440	0	1.69E+07	9.93E+08	0	1.32E+07	1.72E+07	0	9924830	0	5127770	0	4.14E+07	7549450	0	0	0	0	0	0	0	0	0	3.96E+07	2.91E+07	0	0	2.06E+07	0	0	0	0	1.20E+08	1.23E+07	0	0	0	1.14E+07	6246940	0	0	0	0	0	1.37E+07	0	0	0	0	0	0	0	0	0	0	6.00E+07	0	0	0	0	0	2.65E+07	3337960	0	0	9259030	0	0	2.14E+07
F1_D11 178_271.txt	9.90E+07	0	2.94E+08	8.54E+07	3.25E+08	0	0	2.72E+07	1854640	2716080	0	0	0	0	9901830	1.49E+08	1.74E+08	0	7017180	0	0	0	1.19E+07	1.14E+07	0	0	2.49E+07	2.11E+07	5331720	0	0	1.90E+07	0	0	1.18E+07	0	0	0	0	0	2.75E+08	1.65E+07	3.71E+07	7946370	1.00E+07	0	2.05E+07	0	3.61E+08	0	0	0	5607690	0	1.59E+08	0	5.94E+07	0	4.94E+07	6.26E+07	0	0	0	0	0	0	0	3.11E+08	2.29E+08	0	0	0	0	1348720	2.33E+08	0	0	1.44E+08	0	0	0	0	0	2.82E+07	7975360	0	0	0	1.55E+07	0	2.17E+08	0	2.55E+07	2.93E+07	4.98E+08	0	4.38E+07	0	0	1.33E+07	0	0	0	7.08E+07	6618260	0	0	1.28E+07	0	1.14E+07	522216	0	0	1.34E+07	8.53E+07	4.63E+07	0	0	5.58E+07	7253220	1.48E+07	0	6.42E+08	0	0	0	0	0	2.30E+07	8584600	0	0	0	5442910	1563820	3.59E+07	0	5406590	8.95E+07	0	0	0	0	3099680	0	0	0	0	0	5341160	7522140	0	4.42E+07	1672380	1267890	0	2591930	0	0	2.46E+07
F1_D11 VOC 156_48.txt	7.79E+07	2.60E+08	9.09E+07	1.06E+08	1.41E+08	2823260	5.89E+07	2.11E+07	1.43E+07	0	1.96E+07	0	0	0	0	1.61E+08	9.55E+07	0	0	0	0	0	0	1.92E+08	0	0	1.27E+08	6.77E+07	9.66E+07	0	0	4.36E+07	0	0	0	0	655665	0	0	0	4.35E+08	0	1.85E+08	0	9.20E+07	0	0	0	6.81E+07	0	0	1.80E+08	0	0	0	0	0	0	1.13E+09	0	0	0	0	0	0	0	0	3.00E+08	3.91E+08	0	0	0	0	2.04E+07	5.25E+08	0	0	1.84E+08	1.37E+07	0	3.53E+07	0	1.97E+07	1.36E+08	1.17E+07	1.81E+07	4.71E+08	0	0	0	0	0	2.32E+07	2.84E+07	3.77E+07	0	0	7417720	0	1.25E+07	0	0	0	4.12E+07	7572040	0	0	0	0	0	0	0	3.55E+07	0	6.81E+07	0	3.77E+07	0	3.13E+07	0	0	0	4.47E+08	0	0	0	0	0	2.18E+07	0	0	0	0	0	0	2.36E+07	0	0	3.91E+07	0	0	0	0	2314840	2.35E+07	0	0	0	0	0	0	0	2.50E+07	0	0	0	0	0	0	1.29E+08
F1_D11 VOC 158_40.txt	1.22E+08	3.22E+08	8.13E+07	1.22E+08	1.07E+08	3455060	1.34E+07	1.14E+07	2328610	2698950	6.24E+07	0	0	0	0	3.26E+08	0	0	0	0	0	0	0	0	0	0	0	0	9749870	0	1.50E+07	0	0	0	0	1958210	0	0	3.58E+07	0	3.75E+08	0	0	0	0	3.17E+08	0	0	1.37E+08	0	0	0	0	0	2.88E+08	0	0	0	1.23E+08	0	0	0	0	0	0	0	0	2.76E+08	0	0	8.63E+07	0	0	1.47E+07	8.71E+08	0	0	1.67E+08	0	0	3.35E+07	0	0	0	1.48E+07	0	8603580	0	1.18E+07	0	1.34E+08	2.28E+07	3.47E+07	0	1.08E+09	0	1.15E+07	0	0	2.16E+07	0	0	0	7.46E+07	3922890	1.58E+07	0	0	0	1.53E+07	0	0	0	0	5.05E+07	1.09E+08	0	0	8.01E+07	7456270	0	0	0	2.46E+08	3.04E+07	0	0	0	2.57E+07	0	0	0	0	0	0	2.62E+07	0	0	0	7809490	0	0	0	4173360	2.91E+07	0	6.99E+07	0	0	0	8506200	0	0	0	0	0	0	0	1.43E+07	9.98E+07
F1_D13 156_128.txt	1.13E+08	2.50E+08	8610740	0	2.28E+08	0	8.00E+07	7580120	1.21E+07	1443820	0	0	0	0	4612880	2.27E+08	1.77E+08	0	2013190	0	3.67E+07	0	1.81E+07	0	0	5415430	8726600	1.73E+07	0	0	0	4.90E+07	1.29E+07	0	0	0	1.13E+07	0	9545240	0	9.04E+07	0	0	3.20E+08	0	0	0	1.63E+08	0	0	0	2.02E+08	3.88E+07	0	3.58E+07	0	0	0	3.11E+08	5.45E+07	6021280	0	0	0	0	0	0	0	0	1.64E+08	0	0	0	0	0	0	0	1.59E+08	0	3.27E+07	9.44E+07	0	0	4.99E+07	5449940	6.06E+07	0	6.33E+07	0	0	0	0	1.05E+08	2.82E+07	1.54E+08	0	2.05E+08	1.43E+07	0	0	0	1.08E+07	0	6.32E+07	8238800	1.24E+07	8.27E+07	0	0	2.07E+07	0	2.13E+07	0	2.11E+07	8.68E+07	0	0	0	2.49E+07	0	0	5049170	1.79E+07	0	0	0	0	0	1.02E+07	0	0	0	0	3318450	0	3.27E+07	0	0	0	0	0	0	0	0	1.73E+07	0	0	0	0	0	0	0	2.69E+07	1521810	0	0	1.89E+07	0	0	4411940
F1_D13 160_170.txt	2.53E+08	3.21E+08	0	0	0	0	0	0	0	0	0	1.25E+07	0	0	0	0	0	0	0	8130840	0	0	0	0	0	0	0	0	0	4694330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1272800	1.54E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3033400	0	0	0	0	0	0	0	0	0	0	596193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.54E+07
F1_D13 167_107.txt	8.81E+07	2.67E+08	5.18E+07	9.58E+07	2.80E+08	2516200	5.43E+07	2.95E+07	1212720	6951090	0	0	0	0	1.82E+08	0	1.18E+08	0	0	0	2.94E+07	0	2.93E+07	0	0	0	4.18E+07	2.11E+07	2646420	0	2.81E+07	0	0	0	0	0	0	0	6.60E+07	0	5.67E+08	0	0	0	3.78E+08	0	0	0	1.20E+08	0	0	2.77E+08	0	0	3.33E+08	0	0	0	1.37E+09	0	0	0	0	0	0	0	0	4.91E+08	7.14E+08	0	0	0	0	6192120	0	582753	0	1.22E+08	0	2.42E+07	6.86E+07	0	0	2.60E+08	1.55E+07	4.40E+07	1.47E+07	0	0	0	0	0	9.39E+07	1.99E+07	5.74E+08	0	3.93E+07	0	0	0	0	1.42E+07	0	4.58E+07	1.06E+07	0	1.90E+07	0	0	0	0	0	9.67E+07	0	5.77E+07	0	0	0	4.09E+07	0	0	9801790	0	1.16E+08	0	0	0	0	1.32E+07	0	0	0	1.75E+07	8638400	0	3.67E+07	0	0	0	0	0	0	0	0	1.48E+07	0	0	0	0	0	0	0	3.07E+07	538302	0	0	588098	0	0	6.61E+07
F1_D13 181_174.txt	1.22E+08	4.11E+08	1.91E+08	1.89E+08	2.03E+08	1.28E+07	3.82E+07	3.40E+07	4051400	4735940	3.92E+07	0	0	0	0	3.36E+08	2.29E+08	4.70E+07	1551050	0	8.69E+07	0	9.83E+07	0	0	0	3.50E+08	1.19E+08	1.69E+08	0	1.14E+08	0	0	0	0	0	0	0	6.79E+07	0	2.44E+08	0	0	0	1.43E+08	0	0	0	1.97E+08	0	0	1.49E+08	7.70E+07	0	1.63E+08	0	0	0	9.62E+08	0	0	0	0	0	0	0	3.45E+07	2.72E+08	0	0	0	1.44E+08	1.02E+07	1.30E+07	2.85E+08	0	0	1.86E+08	0	2.73E+07	1.50E+08	0	0	5.14E+07	2.18E+07	5.91E+07	5705890	0	0	0	0	6.33E+07	1.00E+08	4.88E+07	1.28E+07	0	2.31E+08	0	0	0	0	1.58E+07	0	9.83E+07	6519230	0	1.08E+07	0	0	1.22E+07	9206940	0	0	3.23E+07	9.24E+07	0	0	0	7.02E+07	0	1.17E+07	2338030	4.93E+07	0	0	0	0	0	4.90E+07	0	0	0	0	6644600	0	4.65E+07	0	0	0	0	0	0	6721890	2989810	8453720	0	0	2.81E+07	0	0	7850160	0	0	3917810	1677430	0	2.26E+07	0	0	1.33E+08
F1_D15 145_201.txt	7.41E+07	0	1.72E+08	5.10E+07	2.28E+08	0	2.03E+07	1.67E+07	2.12E+07	4942380	0	0	0	0	0	3.49E+07	7.79E+07	3439730	0	0	3968120	0	3.76E+07	0	0	8017610	1.90E+08	4.47E+07	2.60E+07	0	0	3.44E+07	0	1.23E+07	0	0	0	0	0	0	2.68E+08	0	9.50E+07	0	1.39E+08	0	4.82E+07	0	0	0	0	1.46E+08	0	0	2.69E+08	0	0	0	7.18E+08	0	0	0	0	0	0	0	0	1.99E+08	2.77E+08	0	5.16E+07	0	0	1765910	2.63E+08	0	0	8.49E+07	5191910	1.03E+07	5.04E+07	0	0	1.12E+08	0	1.02E+07	0	0	0	0	0	0	1.77E+07	1.38E+07	1.54E+07	0	1.33E+07	0	0	0	1.03E+07	5525570	0	5.69E+07	4349020	0	8135080	0	0	1.36E+07	0	0	1.55E+07	0	4.30E+07	3.49E+07	0	0	1.47E+07	2368020	1009590	0	0	2.48E+08	0	0	0	0	6625680	0	0	0	4069850	1.87E+07	9116030	1.29E+07	0	0	1.81E+07	0	0	0	0	0	0	0	0	2.13E+07	0	3980180	4021420	0	2.01E+07	1811870	0	0	6046010	0	0	3.90E+07
F1_D15 159_114.txt	1.16E+08	1.82E+08	0	2.37E+08	1.37E+08	1.08E+07	2.83E+07	0	8774180	0	6.44E+07	0	0	0	1.52E+08	0	8.89E+07	1.81E+07	7.90E+07	0	0	0	1.55E+07	0	0	0	3684550	0	2.48E+07	0	4703480	0	0	0	0	0	0	0	9932820	0	0	0	0	0	1.54E+07	0	0	0	0	0	3.15E+07	0	0	0	1.31E+08	0	0	0	2.81E+08	0	0	0	3170880	0	1.55E+07	0	0	0	0	0	0	0	0	2869570	3.73E+08	0	0	8.84E+07	1.04E+07	0	1.39E+07	0	6.38E+07	0	0	0	8844160	0	0	0	0	3304500	2.65E+07	0	7.14E+08	0	0	1.76E+07	0	0	0	0	0	0	1.82E+07	1.12E+07	0	0	0	1.43E+07	0	0	0	0	3.45E+07	0	0	0	1.80E+07	0	0	0	3.16E+07	0	0	0	0	0	1.48E+07	0	0	0	9150610	0	0	1.60E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3124780	0	0	3.47E+07
F1_D15 166_302.txt	5.30E+07	0	1.84E+08	0	2.71E+08	0	1.03E+07	2.95E+07	2165000	0	1.42E+07	0	0	1019140	0	1.03E+08	1.40E+08	1.61E+07	0	0	0	0	5.17E+07	0	0	1.18E+07	1.54E+08	1.20E+08	1.19E+08	0	0	0	0	0	0	0	0	0	2.54E+07	0	3.89E+08	0	0	0	1.06E+07	0	0	0	2.96E+08	4.48E+07	0	3.53E+08	0	0	5.25E+08	0	0	0	1.54E+09	0	0	0	0	0	0	0	0	4.45E+08	6.09E+08	0	0	0	0	724139	2.80E+07	2523580	0	1.54E+08	0	0	1.70E+07	0	0	7.21E+07	4.09E+07	0	0	0	0	0	0	5354150	0	0	4.91E+08	0	1.01E+07	0	0	0	0	3810620	0	2.77E+07	3171720	0	0	0	0	0	0	0	0	0	4.50E+07	1.70E+07	0	0	2.00E+07	0	0	1.34E+07	3.96E+08	0	0	0	0	0	8871790	0	0	0	3791490	2.31E+07	0	9425620	0	0	1.10E+07	0	0	0	0	0	0	0	4.07E+07	0	0	0	3864650	0	1.64E+07	1577750	0	0	1.23E+07	0	0	1.22E+08
F1_D18 145_296.txt	3.97E+07	0	1.29E+08	6.39E+07	2.99E+08	0	1.90E+07	1.87E+07	1635800	3442980	9861130	0	0	0	0	4.66E+07	7.36E+07	0	0	0	0	0	1.08E+07	0	0	0	1.18E+08	1.51E+07	9735730	0	0	5031720	0	2584720	0	0	0	0	0	0	3.66E+08	1910920	2.65E+07	0	8.34E+07	0	8.32E+07	0	4332060	0	0	3.38E+08	0	0	2.25E+08	0	0	0	6.62E+08	0	0	0	0	0	0	0	0	2.82E+08	3.49E+08	0	0	0	0	2220320	878550	1355150	0	1.25E+08	4737920	0	5.46E+07	0	0	0	5851560	0	7698160	0	0	0	0	3548010	0	9678690	2.83E+08	0	6905410	0	0	7341720	0	3798650	0	2.91E+07	3616280	0	0	0	0	0	0	0	2.38E+07	0	3.43E+07	1.52E+07	0	0	9806250	0	0	0	3.64E+08	0	0	0	0	0	3772610	0	4001600	0	0	0	8901330	6798750	0	0	5.07E+07	0	0	0	0	0	0	1.86E+07	0	0	0	1860610	0	0	1.52E+07	2494590	0	0	0	0	0	5.22E+07
